,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11
800,Very worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",South Atlantic
801,Somewhat worried,Somewhat worried,No,No,No,Not so familiar,Extremely familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic
802,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$100,000 to $124,999",East South Central
803,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,Prefer not to answer,Middle Atlantic
804,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$100,000 to $124,999",South Atlantic
805,Not at all worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$75,000 to $99,999",East North Central
806,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$0 to $9,999",South Atlantic
807,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$125,000 to $149,999",Middle Atlantic
808,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Female,"$25,000 to $49,999",West North Central
809,Very worried,Very worried,Yes,"Yes, one or more minor ones",No,Very familiar,Extremely familiar,60,Male,"$50,000 to $74,999",Middle Atlantic
810,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,30 - 44,Female,"$10,000 to $24,999",East North Central
811,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,45 - 59,Female,"$150,000 to $174,999",South Atlantic
812,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not at all familiar,Somewhat familiar,18 - 29,Female,"$0 to $9,999",Middle Atlantic
813,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",East North Central
814,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$125,000 to $149,999",West South Central
815,Not so worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Mountain
816,Not so worried,Somewhat worried,Yes,No,No,Very familiar,Very familiar,18 - 29,Female,"$150,000 to $174,999",Middle Atlantic
817,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Male,"$50,000 to $74,999",South Atlantic
818,Not at all worried,Extremely worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$25,000 to $49,999",East North Central
819,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,30 - 44,Female,Prefer not to answer,West South Central
820,Not so worried,Not so worried,No,"Yes, one or more minor ones",Yes,Very familiar,Not at all familiar,60,Female,"$25,000 to $49,999",Mountain
821,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Male,"$25,000 to $49,999",South Atlantic
822,Not so worried,Not so worried,No,"Yes, one or more major ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",Pacific
823,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",Yes,Not at all familiar,Not at all familiar,45 - 59,Female,"$10,000 to $24,999",Pacific
824,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",South Atlantic
825,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic
826,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",No,Not at all familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",West North Central
827,Very worried,Very worried,Yes,No,Yes,Very familiar,Very familiar,60,Female,"$25,000 to $49,999",Pacific
828,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,Prefer not to answer,South Atlantic
829,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$25,000 to $49,999",Pacific
830,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,60,Female,"$150,000 to $174,999",South Atlantic
831,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,45 - 59,Female,"$10,000 to $24,999",New England
832,Very worried,Very worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Not at all familiar,45 - 59,Female,"$75,000 to $99,999",Pacific
833,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$0 to $9,999",Pacific
834,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic
835,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,West South Central
836,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$25,000 to $49,999",South Atlantic
837,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not at all familiar,Somewhat familiar,60,Female,"$75,000 to $99,999",South Atlantic
838,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$200,000 and up",South Atlantic
839,Not so worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",Pacific
840,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Female,"$50,000 to $74,999",Mountain
841,Not at all worried,Not at all worried,Yes,No,Yes,Somewhat familiar,Not so familiar,45 - 59,Male,"$10,000 to $24,999",South Atlantic
842,Not so worried,Not so worried,No,"Yes, one or more major ones",No,Not so familiar,Not so familiar,45 - 59,Female,"$50,000 to $74,999",Mountain
843,Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Pacific
844,Not at all worried,Somewhat worried,No,No,No,Somewhat familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",East South Central
845,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,60,Female,"$25,000 to $49,999",West South Central
846,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Male,"$75,000 to $99,999",Pacific
847,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,45 - 59,Female,"$50,000 to $74,999",South Atlantic
848,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not at all familiar,18 - 29,Female,Prefer not to answer,East North Central
849,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,Prefer not to answer,South Atlantic
850,Not at all worried,Not at all worried,No,No,No,Very familiar,Not at all familiar,60,Male,"$150,000 to $174,999",Mountain
851,Somewhat worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$75,000 to $99,999",West North Central
852,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,45 - 59,Female,"$25,000 to $49,999",Pacific
853,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,45 - 59,Female,"$75,000 to $99,999",New England
854,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,30 - 44,Female,"$75,000 to $99,999",Pacific
855,Not so worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",Pacific
856,Very worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,18 - 29,Female,"$25,000 to $49,999",Pacific
857,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
858,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,Prefer not to answer,Middle Atlantic
859,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",East South Central
860,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,18 - 29,Female,"$50,000 to $74,999",Middle Atlantic
861,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$50,000 to $74,999",New England
862,Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not so familiar,30 - 44,Female,"$50,000 to $74,999",Pacific
863,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Not so familiar,Not so familiar,18 - 29,Female,"$0 to $9,999",Middle Atlantic
864,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
865,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Not so familiar,Somewhat familiar,18 - 29,Female,Prefer not to answer,Middle Atlantic
866,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Male,"$50,000 to $74,999",East North Central
867,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$200,000 and up",West North Central
868,Somewhat worried,Somewhat worried,No,No,No,Somewhat familiar,Not at all familiar,60,Female,Prefer not to answer,West North Central
869,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,18 - 29,Female,"$25,000 to $49,999",South Atlantic
870,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",West South Central
871,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$200,000 and up",Middle Atlantic
872,Somewhat worried,Somewhat worried,Yes,,,,,,,,
873,Extremely worried,Not at all worried,Yes,"Yes, one or more major ones",No,Not at all familiar,Extremely familiar,60,Male,"$0 to $9,999",Mountain
874,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",New England
875,Not so worried,Not at all worried,No,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,18 - 29,Female,"$200,000 and up",Pacific
876,Extremely worried,Extremely worried,Yes,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$75,000 to $99,999",East North Central
877,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,60,Female,"$75,000 to $99,999",Middle Atlantic
878,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$100,000 to $124,999",South Atlantic
879,Not so worried,Extremely worried,No,"Yes, one or more minor ones",Yes,Not at all familiar,Not so familiar,18 - 29,Female,"$0 to $9,999",South Atlantic
880,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$25,000 to $49,999",Middle Atlantic
881,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Female,"$50,000 to $74,999",East North Central
882,Not so worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Very familiar,18 - 29,Male,"$0 to $9,999",Pacific
883,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,60,Male,"$100,000 to $124,999",Middle Atlantic
884,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$25,000 to $49,999",West South Central
885,Not so worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,18 - 29,Female,"$25,000 to $49,999",East North Central
886,Very worried,Very worried,Yes,"Yes, one or more major ones",No,Extremely familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",Pacific
887,Not so worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,45 - 59,Female,Prefer not to answer,South Atlantic
888,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$50,000 to $74,999",New England
889,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$10,000 to $24,999",Pacific
890,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,60,Male,"$100,000 to $124,999",Middle Atlantic
891,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,45 - 59,Female,"$10,000 to $24,999",East South Central
892,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,60,Male,"$50,000 to $74,999",West North Central
893,Somewhat worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,60,Female,"$25,000 to $49,999",Pacific
894,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$50,000 to $74,999",East South Central
895,Not at all worried,Not so worried,No,No,No,Not so familiar,Not at all familiar,30 - 44,Female,"$100,000 to $124,999",East North Central
896,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,30 - 44,Female,"$25,000 to $49,999",East North Central
897,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,60,Female,"$10,000 to $24,999",Middle Atlantic
898,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Very familiar,Not at all familiar,60,Female,"$75,000 to $99,999",Pacific
899,Somewhat worried,Extremely worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Female,"$75,000 to $99,999",East South Central
900,Not so worried,Not so worried,Yes,"Yes, one or more major ones",No,Not so familiar,Not so familiar,45 - 59,Male,"$25,000 to $49,999",Pacific
901,Extremely worried,Extremely worried,No,"Yes, one or more minor ones",No,Not at all familiar,Somewhat familiar,45 - 59,Female,"$10,000 to $24,999",Mountain
902,Extremely worried,Extremely worried,No,No,No,Not so familiar,Not so familiar,45 - 59,Male,Prefer not to answer,Middle Atlantic
903,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",Mountain
904,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Female,"$0 to $9,999",West North Central
905,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,45 - 59,Female,"$175,000 to $199,999",Middle Atlantic
906,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Female,Prefer not to answer,East North Central
907,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,30 - 44,Male,"$100,000 to $124,999",West North Central
908,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Extremely familiar,Not at all familiar,60,Female,"$150,000 to $174,999",South Atlantic
909,Not at all worried,Not at all worried,No,No,No,Very familiar,Somewhat familiar,18 - 29,Male,"$100,000 to $124,999",New England
910,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",South Atlantic
911,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$50,000 to $74,999",East North Central
912,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,45 - 59,Male,"$25,000 to $49,999",South Atlantic
913,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Female,"$50,000 to $74,999",West South Central
914,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Not at all familiar,60,Male,"$50,000 to $74,999",New England
915,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",East North Central
916,Not so worried,Not so worried,No,No,No,Very familiar,Not so familiar,45 - 59,Male,"$100,000 to $124,999",New England
917,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$25,000 to $49,999",East North Central
918,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,60,Male,"$75,000 to $99,999",Middle Atlantic
919,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",Pacific
920,Somewhat worried,Somewhat worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$125,000 to $149,999",Mountain
921,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",Middle Atlantic
922,Not at all worried,Not so worried,Yes,No,No,Somewhat familiar,Somewhat familiar,30 - 44,Female,"$50,000 to $74,999",West South Central
923,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,30 - 44,Male,"$10,000 to $24,999",South Atlantic
924,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,18 - 29,Female,"$75,000 to $99,999",New England
925,Not at all worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Not so familiar,Not so familiar,45 - 59,Female,"$10,000 to $24,999",Middle Atlantic
926,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Female,"$10,000 to $24,999",Pacific
927,Not at all worried,Not at all worried,No,No,No,Extremely familiar,Extremely familiar,45 - 59,Male,"$150,000 to $174,999",West South Central
928,Not at all worried,Not at all worried,No,"Yes, one or more major ones",No,Not at all familiar,Not at all familiar,60,Female,Prefer not to answer,Pacific
929,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,45 - 59,Female,"$50,000 to $74,999",Mountain
930,Not at all worried,Not at all worried,No,No,No,Not so familiar,Not at all familiar,30 - 44,Female,"$200,000 and up",South Atlantic
931,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Male,"$75,000 to $99,999",South Atlantic
932,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Very familiar,60,Male,"$50,000 to $74,999",Pacific
933,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Somewhat familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",Pacific
934,Not so worried,Not so worried,Yes,No,No,Not at all familiar,Not at all familiar,30 - 44,Male,"$25,000 to $49,999",West North Central
935,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",East North Central
936,Somewhat worried,Not so worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$125,000 to $149,999",South Atlantic
937,Somewhat worried,Not so worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Not so familiar,30 - 44,Female,"$200,000 and up",New England
938,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Somewhat familiar,60,Female,"$100,000 to $124,999",West North Central
939,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,18 - 29,Female,"$75,000 to $99,999",Pacific
940,Not at all worried,Not at all worried,No,No,No,Very familiar,Very familiar,60,Male,"$150,000 to $174,999",Mountain
941,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Very familiar,60,Male,"$75,000 to $99,999",West North Central
942,Not at all worried,Not at all worried,Yes,No,No,Not so familiar,Not at all familiar,45 - 59,Female,"$50,000 to $74,999",Middle Atlantic
943,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$200,000 and up",Pacific
944,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Somewhat familiar,45 - 59,Male,"$50,000 to $74,999",West South Central
945,Somewhat worried,Somewhat worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not so familiar,45 - 59,Female,"$75,000 to $99,999",Pacific
946,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Somewhat familiar,60,Male,"$100,000 to $124,999",Middle Atlantic
947,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Not so familiar,18 - 29,Female,"$50,000 to $74,999",Pacific
948,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,45 - 59,Female,"$25,000 to $49,999",West North Central
949,Very worried,Very worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Extremely familiar,60,Male,"$25,000 to $49,999",West North Central
950,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",No,Somewhat familiar,Not so familiar,45 - 59,Female,"$50,000 to $74,999",Pacific
951,Somewhat worried,Somewhat worried,Yes,No,Yes,Not at all familiar,Not at all familiar,45 - 59,Female,"$0 to $9,999",Mountain
952,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
953,Not so worried,Not so worried,No,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,60,Female,"$75,000 to $99,999",Pacific
954,Not at all worried,Not at all worried,No,No,No,Somewhat familiar,Not so familiar,60,Female,"$50,000 to $74,999",South Atlantic
955,Somewhat worried,Very worried,Yes,No,No,Somewhat familiar,Not so familiar,30 - 44,Female,"$0 to $9,999",East North Central
956,Not so worried,Not so worried,Yes,No,Yes,Very familiar,Somewhat familiar,45 - 59,Female,"$75,000 to $99,999",East South Central
957,Very worried,Very worried,Yes,"Yes, one or more major ones",No,Very familiar,Somewhat familiar,45 - 59,Female,"$25,000 to $49,999",Pacific
958,Somewhat worried,Somewhat worried,No,"Yes, one or more major ones",No,Extremely familiar,Not at all familiar,60,Male,"$200,000 and up",Pacific
959,Not so worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,30 - 44,Female,"$75,000 to $99,999",Pacific
960,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Very familiar,Not so familiar,30 - 44,Female,"$75,000 to $99,999",New England
961,Somewhat worried,Somewhat worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Female,"$50,000 to $74,999",East North Central
962,Not so worried,Somewhat worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,45 - 59,Male,"$25,000 to $49,999",Middle Atlantic
963,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,Prefer not to answer,South Atlantic
964,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not so familiar,30 - 44,Female,"$50,000 to $74,999",Mountain
965,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,30 - 44,Male,"$100,000 to $124,999",Middle Atlantic
966,Not at all worried,Not so worried,Yes,"Yes, one or more minor ones",Yes,Very familiar,Extremely familiar,45 - 59,Male,"$100,000 to $124,999",Middle Atlantic
967,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Male,"$50,000 to $74,999",Pacific
968,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,30 - 44,Female,"$25,000 to $49,999",East North Central
969,Not so worried,Not at all worried,No,No,No,Not at all familiar,Not so familiar,60,Female,"$25,000 to $49,999",South Atlantic
970,Not so worried,Not so worried,Yes,No,Yes,Somewhat familiar,Somewhat familiar,60,Male,"$75,000 to $99,999",Mountain
971,Not at all worried,Not at all worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,30 - 44,Female,"$10,000 to $24,999",South Atlantic
972,Not at all worried,Not at all worried,No,No,No,Not at all familiar,Not at all familiar,45 - 59,Male,"$100,000 to $124,999",East North Central
973,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Very familiar,45 - 59,Male,"$200,000 and up",Middle Atlantic
974,Somewhat worried,Very worried,Yes,"Yes, one or more major ones",Yes,Somewhat familiar,Somewhat familiar,60,Female,"$25,000 to $49,999",Pacific
975,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Not so familiar,Not at all familiar,30 - 44,Female,"$25,000 to $49,999",East North Central
976,Somewhat worried,Not so worried,No,No,No,Somewhat familiar,Not at all familiar,18 - 29,Female,"$75,000 to $99,999",Mountain
977,Somewhat worried,Somewhat worried,No,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,60,Female,"$25,000 to $49,999",East South Central
978,Somewhat worried,Not so worried,No,"Yes, one or more minor ones",Yes,Somewhat familiar,Somewhat familiar,60,Female,"$10,000 to $24,999",South Atlantic
979,Not at all worried,Not at all worried,Yes,No,No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$25,000 to $49,999",West South Central
980,Not at all worried,Not so worried,No,"Yes, one or more major ones",No,Extremely familiar,Extremely familiar,60,Male,"$75,000 to $99,999",West South Central
981,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Very familiar,18 - 29,Female,"$10,000 to $24,999",West North Central
982,Extremely worried,Extremely worried,Yes,"Yes, one or more minor ones",No,Not at all familiar,Not at all familiar,18 - 29,Female,"$10,000 to $24,999",South Atlantic
983,Not so worried,Not so worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Not at all familiar,60,Male,"$200,000 and up",Pacific
984,Not so worried,Not so worried,No,No,No,Not so familiar,Not so familiar,45 - 59,Female,"$75,000 to $99,999",
985,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$25,000 to $49,999",Pacific
986,Not at all worried,Not so worried,No,No,Yes,Not so familiar,Not so familiar,30 - 44,Female,"$0 to $9,999",East North Central
987,Not at all worried,Not at all worried,No,No,No,Extremely familiar,Somewhat familiar,45 - 59,Female,"$50,000 to $74,999",South Atlantic
988,Extremely worried,Extremely worried,Yes,"Yes, one or more major ones",Yes,Extremely familiar,Extremely familiar,30 - 44,Female,"$0 to $9,999",Pacific
989,Not so worried,Not so worried,Yes,No,No,Somewhat familiar,Not so familiar,30 - 44,Female,"$0 to $9,999",East North Central
990,Not so worried,Not so worried,No,"Yes, one or more minor ones",No,Extremely familiar,Extremely familiar,60,Female,"$10,000 to $24,999",New England
991,Somewhat worried,Very worried,Yes,"Yes, one or more minor ones",No,Extremely familiar,Not so familiar,30 - 44,Female,Prefer not to answer,Pacific
992,Not at all worried,Not at all worried,No,,,,,,,,
993,Not so worried,Not so worried,Yes,"Yes, one or more minor ones",No,Very familiar,Somewhat familiar,45 - 59,Male,"$75,000 to $99,999",New England
994,Not at all worried,Not at all worried,No,"Yes, one or more minor ones",No,Very familiar,Not at all familiar,30 - 44,Female,"$25,000 to $49,999",East South Central
995,Not so worried,Not at all worried,No,"Yes, one or more minor ones",No,Somewhat familiar,Not at all familiar,30 - 44,Female,"$75,000 to $99,999",South Atlantic
996,Not at all worried,Not at all worried,No,No,No,Very familiar,Not so familiar,45 - 59,Female,"$100,000 to $124,999",Middle Atlantic
